hsv_mean_h,hsv_mean_s,hsv_mean_v,hsv_std_h,hsv_std_s,hsv_std_v,hog_mean,hog_std,hog_max,glcm_contrast_0,glcm_contrast_90,glcm_correlation_0,glcm_correlation_90,glcm_energy_0,glcm_energy_90,glcm_homogeneity_0,glcm_homogeneity_90,target_label
25.73324585,7.330062866,131.2887573,37.01836344,18.44520389,27.27397111,0.107527767,0.096286617,0.426533766,88.87876838,51.52503064,0.938279703,0.964024996,0.099723579,0.091659959,0.69680763,0.644046046,haze
125.7985992,23.20361328,130.5036469,16.34123031,12.3111745,45.36400177,0.097799396,0.106153716,0.489314634,26.95476409,6.979074755,0.992745713,0.998116313,0.058431868,0.066036004,0.629242879,0.724873392,haze
30.77069092,26.19906616,145.4026031,48.96154334,12.19256141,39.15561759,0.108660844,0.095006075,0.349511098,86.25703125,33.95598958,0.965067024,0.986163062,0.054533368,0.058090184,0.638289689,0.660130307,haze
104.9549561,43.83676147,164.263092,1.93902343,8.165944081,20.42664061,0.095986736,0.107795547,0.3951273,0.948345588,0.523238358,0.998984147,0.999437594,0.08639806,0.086408304,0.830598961,0.834045203,haze
101.8543396,17.88977051,113.2171936,26.06422343,7.27748287,38.83163073,0.105286272,0.09873264,0.402496219,2.795067402,1.917509191,0.998947472,0.999273721,0.054232135,0.050631885,0.697190005,0.668216858,haze
25.929245,49.74060059,90.95932007,14.15848692,28.20587607,18.99283406,0.108289441,0.095429189,0.442192611,38.04324449,24.57009804,0.948880235,0.966942135,0.100514867,0.095495656,0.712067994,0.675156046,haze
0,0,162.8798523,0,0,70.93445065,0.119472583,0.080991575,0.543432943,169.8680607,167.5310355,0.983123358,0.983302885,0.0299594,0.030546561,0.382381104,0.387504878,haze
108.4489441,9.920440674,123.93013,53.92765245,5.061609528,40.29315129,0.096211531,0.107594956,0.487826215,201.6571232,200.6315411,0.933861957,0.933086911,0.076696754,0.068850194,0.7440851,0.674929645,haze
85.32427979,29.06187439,178.746933,12.44436251,12.90432989,41.19254845,0.112779118,0.090078875,0.425339482,26.27241115,19.50885417,0.992523876,0.994409739,0.053114783,0.047998744,0.517835362,0.515112354,haze
41.26670837,22.60197449,129.6916962,18.36129445,14.04842856,25.44468216,0.113575232,0.089073004,0.370605749,101.3067708,50.58872549,0.920055863,0.959901317,0.053782713,0.054585712,0.475900028,0.486172358,haze
109.2155762,6.670120239,191.7541809,40.02683547,5.020331176,42.83652344,0.10862166,0.095050872,0.41094366,14.1989277,11.20148591,0.996138425,0.996931801,0.078209205,0.083504417,0.645596848,0.673089598,haze
56.38536072,8.152297974,144.9445343,44.40067663,6.353420356,45.72093092,0.101088225,0.103026715,0.470811712,93.48941483,53.10249694,0.977626977,0.987259527,0.078386636,0.072140048,0.682856404,0.632298866,haze
19.86639404,11.52970886,158.9551239,21.96925222,9.482853047,34.0768173,0.097796764,0.106156141,0.464653857,40.75162377,22.04292279,0.983442666,0.990989931,0.076941121,0.068528051,0.72889208,0.664432137,haze
90.64924622,11.45825195,187.544281,41.43723307,6.594460142,11.71492092,0.11211655,0.08936126,0.587944757,15.69742647,10.53423713,0.937873751,0.958009738,0.171375954,0.172527747,0.577928688,0.596718557,haze
